request_id,user_id,requested_amount,expected_amount_safe_to_pay,actual_amount_safe_to_pay,expected_affordability_status,actual_affordability_status,expected_recommended_payment_method,actual_recommended_payment_method,expected_payment_plan,actual_payment_plan,expected_earliest_date_for_full_payment,actual_earliest_date_for_full_payment,expected_spending_changes_needed,actual_spending_changes_needed,mismatched_fields
request_01,user_01,25256,25256,25256,affordable_now,affordable_now,full_payment,full_payment,2024-03-03:25256,2024-03-03:25256,2024-03-03,2024-03-03,none,none,none
request_02,user_02,46018000,17229139.2,19739421.21,affordable_with_plan,affordable_with_plan,installments,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-09-15,2025-09-15,none,none,amount_safe_to_pay
request_03,user_03,5491000,873000,1292748.99,affordable_later,affordable_later,wait,wait,2019-11-15:5491000,2019-10-15:5491000,2019-11-15,2019-10-15,none,none,amount_safe_to_pay|payment_plan|earliest_date_for_full_payment
request_04,user_04,12693000,8401800,12693000,affordable_later,affordable_now,wait,full_payment,2024-06-15:12693000,2024-06-04:12693000,2024-06-15,2024-06-04,none,none,amount_safe_to_pay|affordability_status|recommended_payment_method|payment_plan|earliest_date_for_full_payment
request_05,user_05,15488,737,0,not_affordable,not_affordable,not_recommended,not_recommended,none,none,None,None,none,none,amount_safe_to_pay
request_06,user_06,620.4,603.3,620.40,affordable_with_plan,affordable_now,full_payment,full_payment,2026-01-03:620.40,2026-01-03:620.40,2026-01-15,2026-01-03,stop:event_476,none,amount_safe_to_pay|affordability_status|earliest_date_for_full_payment|spending_changes_needed
request_07,user_07,197400,87170.56,94960.66,affordable_with_plan,affordable_with_plan,installments,installments,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-10-23,2024-10-15,none,none,amount_safe_to_pay|earliest_date_for_full_payment
request_08,user_08,996.6,284.57,340.57,affordable_later,affordable_later,wait,wait,2025-04-15:996.60,2025-04-15:996.60,2025-04-15,2025-04-15,none,none,amount_safe_to_pay
request_09,user_09,166.61,166.61,166.61,affordable_now,affordable_now,full_payment,full_payment,2026-07-04:166.61,2026-07-04:166.61,2026-07-04,2026-07-04,none,none,none
request_10,user_10,266700,12700,137937.11,not_affordable,not_affordable,not_recommended,not_recommended,none,none,None,None,none,none,amount_safe_to_pay
request_11,user_11,13110000,12510645,13110000,affordable_with_plan,affordable_now,full_payment,full_payment,2025-05-03:13110000,2025-05-03:13110000,2025-07-15,2025-05-03,reduce_to:event_989:665950,none,amount_safe_to_pay|affordability_status|earliest_date_for_full_payment|spending_changes_needed
request_12,user_12,65164,65164,65164,affordable_with_plan,affordable_with_plan,installments,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,2026-04-05,none,none,none
request_13,user_13,941.6,433.4,902.84,affordable_later,affordable_later,wait,wait,2024-05-15:941.60,2024-05-15:941.60,2024-05-15,2024-05-15,none,none,amount_safe_to_pay
request_14,user_14,5414.2,597.74,751.98,not_affordable,not_affordable,not_recommended,not_recommended,none,none,None,None,none,none,amount_safe_to_pay
request_15,user_15,3685,83.05,45.10,not_affordable,not_affordable,not_recommended,not_recommended,none,none,None,None,none,none,amount_safe_to_pay
request_16,user_16,122500,122500,122500,affordable_now,affordable_now,full_payment,full_payment,2023-08-12:122500,2023-08-12:122500,2023-08-12,2023-08-12,none,none,none
request_17,user_17,274600,243849.58,249395.87,affordable_with_plan,affordable_with_plan,installments,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-15,2026-03-15,none,none,amount_safe_to_pay
request_18,user_18,3246.1,462,551.02,affordable_later,affordable_later,wait,wait,2026-09-15:3246.10,2026-08-15:3246.10,2026-09-15,2026-08-15,none,none,amount_safe_to_pay|payment_plan|earliest_date_for_full_payment
request_19,user_19,39660,28820,31182.24,affordable_with_plan,affordable_with_plan,partial_payment,partial_payment,2024-09-04:28820|2024-09-15:10840,2024-09-04:31182.24|2024-09-15:8477.76,2024-09-15,2024-09-15,none,none,amount_safe_to_pay|payment_plan
request_20,user_20,303700,5400,18188.72,not_affordable,not_affordable,not_recommended,not_recommended,none,none,None,None,none,none,amount_safe_to_pay
request_21,user_21,1574.4,1543.35,1574.40,affordable_with_plan,affordable_now,full_payment,full_payment,2026-04-03:1574.40,2026-04-03:1574.40,2026-04-15,2026-04-03,stop:event_1815|reduce_to:event_1816:23.50,none,amount_safe_to_pay|affordability_status|earliest_date_for_full_payment|spending_changes_needed
request_22,user_22,731.5,475.46,481.11,affordable_with_plan,affordable_with_plan,installments,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2025-01-15,2025-01-15,none,none,amount_safe_to_pay
request_23,user_23,38016,9152,9688.11,affordable_later,affordable_later,wait,wait,2025-07-15:38016,2025-07-15:38016,2025-07-15,2025-07-15,none,none,amount_safe_to_pay
request_24,user_24,109600,13420,19905.21,not_affordable,not_affordable,not_recommended,not_recommended,none,none,None,None,none,none,amount_safe_to_pay
request_25,user_25,60496000,1425000,3923282.17,not_affordable,not_affordable,not_recommended,not_recommended,none,none,None,None,none,none,amount_safe_to_pay
