request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay 15656000 IDR today; the projected balance remains at or above 24768300 IDR.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay 6670 ZAR today; the projected balance remains at or above 20500 ZAR.
request_28,253.97,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,Wait until 2024-08-15 to pay 1302.4 EUR; paying earlier would risk the minimum balance of 1100.
request_29,23518.69,not_affordable,not_recommended,none,,none,No safe supported plan was found within the deadline and 90-day forecast while maintaining 28300 ZAR.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use the supplied 3-payment plan in USD; total payable is 806.22 including fees.
request_31,3314318.12,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,Wait until 2024-11-15 to pay 18164000 IDR; paying earlier would risk the minimum balance of 16588900.
request_32,15765.68,affordable_later,wait,2025-04-15:40018,2025-04-15,none,Wait until 2025-04-15 to pay 40018 ZAR; paying earlier would risk the minimum balance of 35700.
request_33,45947.90,affordable_later,wait,2026-02-15:118000,2026-02-15,none,Wait until 2026-02-15 to pay 118000 INR; paying earlier would risk the minimum balance of 102100.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay 129400 INR today; the projected balance remains at or above 138500 INR.
request_35,27486.15,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Wait until 2026-01-15 to pay 212000 INR; paying earlier would risk the minimum balance of 106400.
request_36,715.54,affordable_later,wait,2026-09-15:3954,2026-09-15,none,Wait until 2026-09-15 to pay 3954 USD; paying earlier would risk the minimum balance of 2400.
request_37,4145753.96,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,Wait until 2024-05-15 to pay 14649000 IDR; paying earlier would risk the minimum balance of 17056200.
request_38,205.38,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,Wait until 2025-09-15 to pay 971.3 EUR; paying earlier would risk the minimum balance of 400.
request_39,76171.35,affordable_later,wait,2026-05-15:208600,2026-05-15,none,Wait until 2026-05-15 to pay 208600 INR; paying earlier would risk the minimum balance of 213400.
request_40,428.73,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,Wait until 2024-08-15 to pay 1290.3 EUR; paying earlier would risk the minimum balance of 1500.
request_41,12109709.15,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,Wait until 2025-12-15 to pay 38760000 IDR; paying earlier would risk the minimum balance of 25366600.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay 52100 INR today; the projected balance remains at or above 113100 INR.
