request_id,reason,details
request_28,provider_error,Gemini request failed
request_33,provider_error,Gemini request failed
request_34,provider_error,Gemini request failed
request_30,provider_error,LLM circuit breaker opened after repeated failures
request_31,provider_error,LLM circuit breaker opened after repeated failures
request_35,provider_error,LLM circuit breaker opened after repeated failures
request_36,provider_error,LLM circuit breaker opened after repeated failures
request_37,provider_error,LLM circuit breaker opened after repeated failures
request_38,provider_error,LLM circuit breaker opened after repeated failures
request_39,provider_error,LLM circuit breaker opened after repeated failures
request_40,provider_error,LLM circuit breaker opened after repeated failures
request_41,provider_error,LLM circuit breaker opened after repeated failures
request_42,provider_error,LLM circuit breaker opened after repeated failures
request_43,provider_error,LLM circuit breaker opened after repeated failures
request_44,provider_error,LLM circuit breaker opened after repeated failures
request_45,provider_error,LLM circuit breaker opened after repeated failures
request_46,provider_error,LLM circuit breaker opened after repeated failures
request_47,provider_error,LLM circuit breaker opened after repeated failures
request_48,provider_error,LLM circuit breaker opened after repeated failures
request_49,provider_error,LLM circuit breaker opened after repeated failures
request_50,provider_error,LLM circuit breaker opened after repeated failures
request_51,provider_error,LLM circuit breaker opened after repeated failures
request_52,provider_error,LLM circuit breaker opened after repeated failures
request_53,provider_error,LLM circuit breaker opened after repeated failures
request_54,provider_error,LLM circuit breaker opened after repeated failures
request_55,provider_error,LLM circuit breaker opened after repeated failures
request_56,provider_error,LLM circuit breaker opened after repeated failures
request_57,provider_error,LLM circuit breaker opened after repeated failures
request_58,provider_error,LLM circuit breaker opened after repeated failures
request_59,provider_error,LLM circuit breaker opened after repeated failures
request_60,provider_error,LLM circuit breaker opened after repeated failures
request_61,provider_error,LLM circuit breaker opened after repeated failures
request_62,provider_error,LLM circuit breaker opened after repeated failures
request_63,provider_error,LLM circuit breaker opened after repeated failures
request_64,provider_error,LLM circuit breaker opened after repeated failures
request_65,provider_error,LLM circuit breaker opened after repeated failures
request_66,provider_error,LLM circuit breaker opened after repeated failures
request_67,provider_error,LLM circuit breaker opened after repeated failures
request_68,provider_error,LLM circuit breaker opened after repeated failures
request_69,provider_error,LLM circuit breaker opened after repeated failures
request_70,provider_error,LLM circuit breaker opened after repeated failures
request_71,provider_error,LLM circuit breaker opened after repeated failures
request_72,provider_error,LLM circuit breaker opened after repeated failures
request_73,provider_error,LLM circuit breaker opened after repeated failures
request_74,provider_error,LLM circuit breaker opened after repeated failures
request_75,provider_error,LLM circuit breaker opened after repeated failures
request_76,provider_error,LLM circuit breaker opened after repeated failures
request_77,provider_error,LLM circuit breaker opened after repeated failures
request_78,provider_error,LLM circuit breaker opened after repeated failures
request_79,provider_error,LLM circuit breaker opened after repeated failures
request_80,provider_error,LLM circuit breaker opened after repeated failures
request_81,provider_error,LLM circuit breaker opened after repeated failures
request_82,provider_error,LLM circuit breaker opened after repeated failures
request_83,provider_error,LLM circuit breaker opened after repeated failures
request_84,provider_error,LLM circuit breaker opened after repeated failures
request_85,provider_error,LLM circuit breaker opened after repeated failures
request_86,provider_error,LLM circuit breaker opened after repeated failures
request_87,provider_error,LLM circuit breaker opened after repeated failures
request_88,provider_error,LLM circuit breaker opened after repeated failures
request_89,provider_error,LLM circuit breaker opened after repeated failures
request_90,provider_error,LLM circuit breaker opened after repeated failures
request_91,provider_error,LLM circuit breaker opened after repeated failures
request_92,provider_error,LLM circuit breaker opened after repeated failures
request_93,provider_error,LLM circuit breaker opened after repeated failures
request_94,provider_error,LLM circuit breaker opened after repeated failures
request_95,provider_error,LLM circuit breaker opened after repeated failures
request_96,provider_error,LLM circuit breaker opened after repeated failures
request_97,provider_error,LLM circuit breaker opened after repeated failures
request_98,provider_error,LLM circuit breaker opened after repeated failures
request_99,provider_error,LLM circuit breaker opened after repeated failures
request_100,provider_error,LLM circuit breaker opened after repeated failures
request_101,provider_error,LLM circuit breaker opened after repeated failures
request_102,provider_error,LLM circuit breaker opened after repeated failures
request_103,provider_error,LLM circuit breaker opened after repeated failures
request_104,provider_error,LLM circuit breaker opened after repeated failures
request_105,provider_error,LLM circuit breaker opened after repeated failures
request_106,provider_error,LLM circuit breaker opened after repeated failures
request_107,provider_error,LLM circuit breaker opened after repeated failures
request_108,provider_error,LLM circuit breaker opened after repeated failures
request_109,provider_error,LLM circuit breaker opened after repeated failures
request_110,provider_error,LLM circuit breaker opened after repeated failures
request_111,provider_error,LLM circuit breaker opened after repeated failures
request_112,provider_error,LLM circuit breaker opened after repeated failures
request_113,provider_error,LLM circuit breaker opened after repeated failures
request_114,provider_error,LLM circuit breaker opened after repeated failures
request_115,provider_error,LLM circuit breaker opened after repeated failures
request_116,provider_error,LLM circuit breaker opened after repeated failures
request_117,provider_error,LLM circuit breaker opened after repeated failures
request_118,provider_error,LLM circuit breaker opened after repeated failures
request_119,provider_error,LLM circuit breaker opened after repeated failures
request_120,provider_error,LLM circuit breaker opened after repeated failures
request_121,provider_error,LLM circuit breaker opened after repeated failures
request_122,provider_error,LLM circuit breaker opened after repeated failures
